"method","estimate_bx_0","estimate_bx_02","estimate_bx_05"
"No covariates",1.88644330340067e-05,0.199983005542266,0.50000345818752
"All covariates",-8.41602425697532e-05,0.200011141414408,0.49992665919781
"p-hacking",-7.11156769392709e-05,0.261574633315217,0.563469175767792
"Single covariate lm",-2.65367213536252e-05,0.198126867463457,0.495150698972679
"Single covariate lm with X",-3.29732581469662e-05,0.200015610802254,0.499957358426051
"All covariates lm",-4.61210492782134e-05,0.191553323634816,0.479340531757713
"All covariates lm with X",-3.63061368918377e-05,0.199995762078346,0.499939559266159
"All covariates LASSO",-6.30132144833418e-05,0.19460558192864,0.486962752541294
"All covariates LASSO with X",-4.4750492906152e-05,0.200010946091944,0.49994550064758
